Ticker,Combined_Sentiment
AAPL,0.7342633333333333
ACIC,0.6912699999999999
ACRE,0.5803799999999999
ADBE,0.809715
ALIT,0.70109
ALV,0.81258
AMD,0.7627349999999999
AMZN,0.7299
APTV,0.7596149999999999
ASML,0.756815
AVGO,0.7062299999999999
BA,0.31414499999999995
BABA,0.62357
BCAB,0.69169
BEN,0.7057399999999999
BIDU,0.70113
BIIB,0.7573399999999999
BWA,0.81356
CHCT,0.56671
CRM,0.8838199999999999
CSGP,0.80971
DG,0.70772
DIS,0.6988
DLTR,0.70772
DXCM,0.80642
FSP,0.53037
FTNT,0.8845599999999999
GFS,0.8043899999999999
GNW,0.7008099999999999
GOOG,0.783245
GOOGL,0.783245
GPN,0.8847699999999998
GT,0.75332
GTX,0.81283
HAL,0.7045499999999999
HPP,0.625485
INTU,0.88533
JD,0.69673
LEA,0.81132
MCD,-0.14796
MCHP,0.80341
META,0.7582949999999999
MGA,0.70588
MOH,0.6933
MQ,0.69962
MRK,0.8104899999999998
MRNA,0.8067000000000001
MSFT,0.811345
MU,0.8094699999999999
NFE,0.5924699999999999
NFLX,0.702655
NOW,0.8846999999999999
NVDA,0.758435
NYMT,0.5828
OLPX,0.69568
OPI,0.5682999999999999
PTON,0.70619
QCOM,0.8103499999999999
RC,0.59425
REAL,0.6972200000000001
SMMT,0.80847
SNY,0.3217
SVC,0.57617
TDOC,0.7019949999999999
TMUS,0.70658
TSM,0.7076499999999999
TTD,0.88491
V,0.8544999999999999
VALE,0.70651
VC,0.8133499999999999
VEEV,0.88484
ZM,0.88491
